region_name,year,month,LAI,LST_Day,NDVI,EVI,FPAR,LST_Night
Vinnytska,2023,3,0.01877255174243055,276.19733659132817,0.38129916797575003,0.22106464863633682,0.1080460635621501,252.3563465221011
Volynska,2023,3,0.019564622295793997,219.70009390453376,0.3979890464956623,0.2515089621406103,0.1155913271233665,230.4063614654328
Zakarpatska,2023,3,0.030033201795439383,285.30807703210394,0.4231219949469187,0.2614084617132955,0.15904184164429375,273.35168103666655
Zaporizka,2023,3,0.009798704363071665,226.91858092743823,0.27216656348582724,0.1449195553543918,0.06233907561615309,231.04974939696098
Zhytomyrska,2023,3,0.010991664021090789,254.85686894171042,0.2975928280516053,0.16475161287552603,0.06967349599754027,250.5490835656857
Avtonomna_Respublika_Krym,2023,6,0.03727945256589159,304.282051590612,0.3494256790573388,0.21551145108180303,0.1484605441451143,289.8752670910928
Cherkaska,2023,6,0.08867327698117751,303.8951558605065,0.5739614249791851,0.40793148929743733,0.24983483970880446,283.50384123355803
Chernihivska,2023,6,0.09250914134216542,299.1409597975244,0.5779886657934492,0.4307600337627594,0.24753006727835952,273.20623861038825
Chernivetska,2023,6,0.0780845610268026,261.29069755127136,0.5589445839078266,0.40778909350342873,0.2319235387120221,233.03442740317286
Dnipropetrovska,2023,6,0.05498241806680522,302.9637235070302,0.5644784636559348,0.3937852054604397,0.21261581587702091,288.583659889424
Donetska,2023,6,0.05985956104380739,299.2275513816963,0.5388868376143706,0.37238689010357323,0.21572560072941482,278.57545798570345
Ivano_Frankivska,2023,6,0.08174423248272349,234.1623239817848,0.5833960580521329,0.4208242048456738,0.2241738372452857,252.3513662247435
Kharkivska,2023,6,0.07059289840477993,301.97136122141245,0.6057130880927731,0.4122891195030783,0.23172929801098482,279.7241166150332
Khersonska,2023,6,0.038357972644916756,305.1433258302313,0.3955223324573698,0.24029917405121196,0.15877887512140837,289.5062663727652
Khmelnytska,2023,6,0.09551847593221141,288.0803041692582,0.6019016628069512,0.46382233945099405,0.2519057734930053,265.409545315315
Kirovohradska,2023,6,0.0690260873330457,304.45709288518765,0.5715341482861404,0.4023267973176644,0.22936406138230667,285.9344432263313
Luhanska,2023,6,0.06013421973848425,289.9991791798502,0.5277717579610965,0.3432381471021037,0.2079238705329059,265.3896732854879
Lvivska,2023,6,0.07845892492436833,224.33212794096605,0.5840016000449497,0.42130869364699447,0.2165230693094547,279.9508275371176
Mykolaivska,2023,6,0.04979589349044142,306.67626333485475,0.4654252841960076,0.31301143695192835,0.18992500496062362,287.3985694569743
Odeska,2023,6,0.046343578385820115,301.121435738385,0.40930050940398427,0.27772983702685144,0.17583259838827414,284.9160318983772
Poltavska,2023,6,0.08373072786289092,302.38970351436575,0.6051363087630125,0.44102412535524205,0.2441590088429863,287.4587193876016
Rivnenska,2023,6,0.08078899664286769,256.28314481398417,0.5802015999305853,0.4227259421847068,0.23056250472750275,285.4466475808388
Sumska,2023,6,0.09662047320470354,300.6650415822641,0.6263937166293135,0.4757550816003554,0.25343740087181427,275.6761939204711
Ternopilska,2023,6,0.09089812770861931,245.83567095738576,0.5943502755856287,0.45962956910201136,0.24162222857522717,281.79598864310253
Vinnytska,2023,6,0.08759455624444694,300.3582661755509,0.5665578939078318,0.43239643208224676,0.24507832507749538,281.94391485724213
Volynska,2023,6,0.07812778744906493,235.55562745653313,0.5832964340937697,0.42371079532880196,0.22106084341181156,283.51560299465143
Zakarpatska,2023,6,0.06614016947843744,299.7495941760252,0.5350768842918587,0.3532031655562315,0.22244709106473426,288.04492326229285
Zaporizka,2023,6,0.046104525463780396,303.0892137742905,0.4729366703713632,0.30704903474669354,0.18351575191336214,283.4474477547385
