region_name,year,month,EVI,LST_Day,NDVI,LST_Night,LAI,FPAR
Zhytomyrska,2018,10,0.1876796435935532,261.7827754994933,0.3667165083423816,247.09690358269646,0.02138559640594223,0.12516353464151667
Avtonomna_Respublika_Krym,2018,5,0.22051949076501123,307.67147480008634,0.35834069112446454,285.2706933889804,0.04357906072468529,0.17114929836596762
Cherkaska,2018,5,0.342604935692521,305.0714130366169,0.5174348431888816,284.238584808639,0.07150376025189034,0.21720212991253848
Chernihivska,2018,5,0.32013711676254103,303.5353300010797,0.4870398895032279,281.713481088129,0.06423154501603111,0.19963025703025974
Chernivetska,2018,5,0.38970990273859646,301.08886058544425,0.56466750037701,285.4486546785566,0.08696165735345011,0.2421265831991457
Dnipropetrovska,2018,5,0.28933667321950524,305.17010097806707,0.4987401949099667,285.3839072624431,0.05032209987426499,0.1955530959306547
Donetska,2018,5,0.28656869259098955,302.5864337487414,0.4911126238785436,285.02300967520176,0.05039315618965003,0.19274226468303546
Ivano_Frankivska,2018,5,0.40076863627020204,300.4937361370827,0.5784582087774499,273.5541437586846,0.10112309832336396,0.25616534363839616
Kharkivska,2018,5,0.2838674793221461,303.80954286364624,0.521508519362089,284.0997602609078,0.05300006686049728,0.190239808197277
Khersonska,2018,5,0.26554278533869136,305.84438639026547,0.4166351496963014,285.350363325456,0.05526726562538167,0.19649672146003536
Khmelnytska,2018,5,0.3530135047565321,302.9718404916968,0.5293477478263363,284.0994231682776,0.0771330678510466,0.2228706900762132
Kirovohradska,2018,5,0.28727270382545544,305.6778889105379,0.4852142423587434,285.1311432662389,0.05502574228948169,0.1918361966440031
Luhanska,2018,5,0.2954100052642175,302.93514820339385,0.5128268599504392,284.4140823451646,0.05841012053571744,0.20173933716448128
Lvivska,2018,5,0.4491748200340292,298.9686566469602,0.6051598200510732,282.6249533250477,0.11774030614652357,0.2758219641201051
Mykolaivska,2018,5,0.29355600723520037,305.63760204103323,0.47271092686438054,284.9572059587534,0.059475150549145206,0.20722794551758045
Odeska,2018,5,0.3352380594936875,302.0140002559411,0.5195609103646958,284.6259896988079,0.08426712262331026,0.24528099694370734
Poltavska,2018,5,0.29862149141232597,305.74917638125413,0.5018692032944463,284.3581997791993,0.05623767962176586,0.18552163648661493
Rivnenska,2018,5,0.39578926667053405,300.8168722371673,0.5500358425961336,284.10399952058094,0.08650698628652155,0.2378022793467069
Sumska,2018,5,0.3138450040269098,302.5279466782915,0.5084058556365265,284.1127984664292,0.06329214164636512,0.20014832343396854
Ternopilska,2018,5,0.3873153260890524,301.13829792236857,0.5676982115324295,284.1520367610799,0.09135088634904334,0.24437789032372265
Vinnytska,2018,5,0.37530843438859995,303.485958153812,0.5444832993130193,284.65389403060453,0.07958981534112033,0.2287929360094218
Volynska,2018,5,0.41817190118000647,300.59281686742065,0.5696180122979326,284.2055139102558,0.10127919137626193,0.2614086285853863
Zakarpatska,2018,5,0.3422734076643075,291.72962850100095,0.488620976474834,286.15453513543883,0.06894443243635574,0.2275775229030321
Zaporizka,2018,5,0.2594114166288735,307.1213381551273,0.44306003780953085,285.3733485223461,0.05172669858623019,0.19601646411528265
Zhytomyrska,2018,5,0.3545833493059224,302.922283050292,0.5171120490429374,283.9977976006977,0.07730627377098262,0.22453947512165665
Avtonomna_Respublika_Krym,2018,8,0.13293516568134736,311.7507958678543,0.24191890834637483,291.27202232730576,0.01776442396302212,0.09201696657378562
Cherkaska,2018,8,0.2656902511463922,304.4738711171223,0.4287548183101741,288.93108190452995,0.0656901693190377,0.2191591444404548
Chernihivska,2018,8,0.3222822279177452,301.96688896445096,0.4847990143657971,285.4363887588336,0.0860293162883437,0.2477166660893542
Chernivetska,2018,8,0.308516605671758,303.2291873654791,0.4766669384988592,289.2395832538552,0.0729106267039927,0.23472724216083996
Dnipropetrovska,2018,8,0.16431167625166376,310.3456349643409,0.31806552572000646,289.90681730326656,0.022942058326182516,0.12599459241510147
Donetska,2018,8,0.16290102970806242,310.2931324772378,0.3177215011993354,289.36283118894227,0.0241736987375982,0.1258687931420835
Ivano_Frankivska,2018,8,0.34908073866806205,300.8153543898333,0.5331641655331586,288.4135642390726,0.08755194042067911,0.25421059852838623
Kharkivska,2018,8,0.17147704669800684,308.72544407843844,0.328486475427071,288.47523637868784,0.030579070514807394,0.14577222057105732
Khersonska,2018,8,0.15390202900652478,312.16627003229894,0.2719809135415727,290.34592892720553,0.022903199877948394,0.1106572271280373
Khmelnytska,2018,8,0.3169989607999063,298.6158384796217,0.48733347842379005,282.856366768861,0.0827340913427349,0.24444796380030062
Kirovohradska,2018,8,0.19113598390920053,306.83097195998806,0.34780174483354465,290.2064755095071,0.03460821649000311,0.1516328371060485
Luhanska,2018,8,0.1700185102939113,308.9037921601472,0.32421341969339146,287.9921537961913,0.029802310120429356,0.14361663540272054
Lvivska,2018,8,0.3290133802689757,301.07076423454834,0.5000388121878403,287.9647427540429,0.07045095795377943,0.23606981133225094
Mykolaivska,2018,8,0.15293179078714172,312.2750123983547,0.29638004766087045,291.257124169311,0.02147375432623644,0.1097542022031102
Odeska,2018,8,0.14392479467988195,311.0628226435412,0.2826874825143102,291.34046447690184,0.021659271232838062,0.1065826462778903
Poltavska,2018,8,0.2470751704943727,303.2901088768331,0.40382894817333137,288.2039245868974,0.053161351271032865,0.19243452926559362
Rivnenska,2018,8,0.31789786417666566,301.50169187113,0.4762176339516121,287.71973640687895,0.07394824423748739,0.2397022260031841
Sumska,2018,8,0.2845315338944403,303.4552211688778,0.4465289236791854,287.02564337714114,0.07072381232022718,0.22700079581768995
Ternopilska,2018,8,0.3072611716768985,301.6374164042669,0.4754513898656784,286.04179265370294,0.07679759729515617,0.23581529773228752
Vinnytska,2018,8,0.27566386923463565,302.1835101175643,0.4459987618976219,288.6118048481471,0.06962411478833103,0.2246375223442372
Volynska,2018,8,0.3147292005818807,301.72913514548105,0.46653356425457415,287.5917920139715,0.06375606695159806,0.2276010553590256
Zakarpatska,2018,8,0.2564432834175652,305.23604215662533,0.41935211409852585,289.89540143477495,0.04771293690732471,0.20147267915698397
Zaporizka,2018,8,0.13422420126511053,312.45865932259136,0.2691853179965223,289.73727608498996,0.01748278431286245,0.0955768477302474
Zhytomyrska,2018,8,0.32631799352800445,299.72799540019315,0.4964276156090073,283.2817639076087,0.08070438147236962,0.24452610278766743
