region_name,year,month,LST_Night,LAI,EVI,FPAR,LST_Day,NDVI
Poltavska,2010,3,266.3094032202404,0.0036957885480483,0.06811773836836545,0.02217051311725757,276.1088770960885,0.1912440766868709
Rivnenska,2010,3,266.4946164623288,0.007709911608772578,0.12171079698530798,0.0471194144159447,264.7644999935124,0.24909933781608873
Sumska,2010,3,264.4566266005611,0.0031818710881620096,0.06781194161335215,0.019652343593287238,258.2515640357159,0.1786476056730734
Ternopilska,2010,3,268.5814683997079,0.005560522853708536,0.10273279535425087,0.03304092932054879,277.39620644543345,0.24413723030355095
Vinnytska,2010,3,269.30163442369724,0.006288810728995447,0.10765725915342714,0.03779570734455078,277.98292860799535,0.24385990530946378
Volynska,2010,3,270.22838299115887,0.008868983541528215,0.13614532580693617,0.05633791934485473,247.08290527631752,0.25588001677301464
Zakarpatska,2010,3,272.2866337720067,0.01905696143309448,0.19902773379239663,0.10892958181027793,252.90765409155043,0.3499860643652009
Zaporizka,2010,3,268.1631074105817,0.008283658235107084,0.11819575461356208,0.052629912714371584,280.4777540542342,0.27368284646949065
Zhytomyrska,2010,3,262.28775619191646,0.006276979330394523,0.10557517640518879,0.03818226207891548,267.29102183252013,0.22764449229520078
Avtonomna_Respublika_Krym,2010,6,288.1429958637133,0.031243662978106684,0.21234693035595661,0.1333461539365722,283.29143086280146,0.3589010352581291
Cherkaska,2010,6,265.6235430394508,0.08428871254658121,0.3907554553192006,0.24712015374299798,299.4123196732287,0.559737694573604
Chernihivska,2010,6,282.5097877679197,0.08390585558831679,0.3609816664219285,0.2497536110056375,304.6562438452222,0.5363359161647051
Chernivetska,2010,6,239.6502268415713,0.0860505366194558,0.4122030643993035,0.24410729298487063,253.9402492259737,0.5928866011917092
Dnipropetrovska,2010,6,251.59080833632765,0.05023749602913656,0.33964009023387526,0.19943369501779065,302.81900948556,0.5240327328823582
Donetska,2010,6,287.5040301706963,0.050726088852663095,0.31757495624674,0.1944993492434038,304.23571790617274,0.506739065858754
Ivano_Frankivska,2010,6,235.6986690530448,0.10881355070379861,0.4509502222003925,0.2741959099482633,276.5942726086396,0.6185873062239383
Kharkivska,2010,6,262.6779715843446,0.05980105647728864,0.33238647013048117,0.21631504917619618,304.05831958826815,0.5317045005244797
