region_name,year,month,EVI,FPAR,LST_Day,NDVI,LAI,LST_Night
Vinnytska,2015,4,0.23273831799882436,0.12559611234480375,291.8434874277299,0.39131173323346535,0.029357855770446677,249.14285035219027
Volynska,2015,4,0.26537714237305093,0.15467695595278766,275.7917026510594,0.40301062590725695,0.0366585734896905,276.80225417743674
Zakarpatska,2015,4,0.31745735964129396,0.19943306074970368,296.8074690031947,0.4773333012054445,0.054544399322883144,276.38174457855985
Zaporizka,2015,4,0.2157573935308838,0.12000584578039863,285.64719864691756,0.39169121316406125,0.02640422134697092,277.3702398879669
Zhytomyrska,2015,4,0.21639455817832642,0.11042106689661212,282.1802794351492,0.37563962333538425,0.024067610641162848,275.3749665782197
Avtonomna_Respublika_Krym,2015,6,0.25689097577820563,0.1628079866998589,285.8622248952125,0.4150098968799452,0.04250351156281789,287.83648655961457
Cherkaska,2015,6,0.4529269129242194,0.28183746116252056,301.4852549593642,0.6175815838635164,0.11897820617842962,287.9698500060646
Chernihivska,2015,6,0.43929016074449995,0.2635884450853271,295.33147049420137,0.6007292551276837,0.10303505869725177,286.8189400029643
Chernivetska,2015,6,0.40198586384215845,0.2584648787080173,300.65365958430874,0.5538127595993068,0.09534106343372072,273.5170874228955
Dnipropetrovska,2015,6,0.3622810118090336,0.19995312283290056,289.6062358683514,0.5367557188985317,0.05254132697267765,288.97869819587237
Donetska,2015,6,0.3291150642686977,0.19754045773932846,285.2197099288178,0.5053890404339382,0.052827633241024415,288.4245710315017
Ivano_Frankivska,2015,6,0.4244538901816229,0.27061279973145974,298.1015157841112,0.5763414889007142,0.10855726337759228,276.217035871677
Kharkivska,2015,6,0.369039498438076,0.22616758186274763,288.29968196901194,0.5495415881361002,0.06991673735070157,286.82953783024095
Khersonska,2015,6,0.27928245532225093,0.16020062513581573,261.9114991147365,0.43421480000534673,0.04250906130123113,287.66415092883034
Khmelnytska,2015,6,0.41742985821607576,0.25768802002047225,298.25149477009995,0.5721075504179114,0.09559933667811614,285.9430302975795
Kirovohradska,2015,6,0.41453759914863064,0.24485612075767038,302.278362148915,0.5891358479071932,0.0846425496268718,288.12467829550184
Luhanska,2015,6,0.31073358638298193,0.2067346928618804,301.31849052531834,0.5010070088661831,0.05882427382390404,289.19314552528215
Lvivska,2015,6,0.4586465969252297,0.26815302116259365,294.6011483772216,0.5942215229091314,0.10870497801852325,263.88840627349305
Mykolaivska,2015,6,0.3212256666728721,0.18150367173700427,282.19196610711344,0.4741749657966286,0.04822313932272447,285.16504050860453
Odeska,2015,6,0.27318174551473745,0.1762284011175774,300.0926122288647,0.41337866975849047,0.045663677527512256,287.59886117553015
Poltavska,2015,6,0.4615190300795339,0.26888270913528833,301.6014603363085,0.624116063655227,0.10643716078271111,287.65928997616885
Rivnenska,2015,6,0.4268502699412576,0.24822987210338673,293.73789080114136,0.5616390408169275,0.08833415892100582,265.0506461300002
Sumska,2015,6,0.4542627751195139,0.27985253791111764,294.34694633503887,0.6272991739494874,0.11726684831342957,287.38673328973834
Ternopilska,2015,6,0.4041699671003421,0.25913367607655063,296.49810237535337,0.5622810849035165,0.09830300874324943,269.256888961064
Vinnytska,2015,6,0.38213072989810765,0.2501818063824714,301.34808685032414,0.5330695755211645,0.0883687286849611,286.93113593286336
Volynska,2015,6,0.4088060330588766,0.25339204146020833,293.8075890628333,0.5539570963655629,0.09262361418238464,245.48012682591545
Zakarpatska,2015,6,0.3359100463228626,0.21749456326613933,293.06684358506925,0.47670219571727623,0.06328249564329423,287.8485982982757
Zaporizka,2015,6,0.3292457560097028,0.17380078629902393,252.0153980378079,0.4899262811313496,0.044966161969907395,288.9795039787519
Zhytomyrska,2015,6,0.3952484441134611,0.24504742592061318,299.44948329568354,0.5469217574540066,0.08458839375970532,285.405513076398
Avtonomna_Respublika_Krym,2015,9,0.12581649072091738,0.08430099930662598,305.83056031271224,0.23305868972084004,0.014424672493053325,284.9839403506575
Cherkaska,2015,9,0.16767956575283027,0.12589925404679855,296.02667097400735,0.32268000565286725,0.02309737193160077,281.54265742877885
Chernihivska,2015,9,0.18470304798732604,0.1379202360608256,286.2303544569427,0.3505948079400647,0.024132338517123025,282.2632382175126
Chernivetska,2015,9,0.1614090157561825,0.11207941684117705,247.91890315393357,0.32474178204845044,0.019905367216713838,280.330740479079
Dnipropetrovska,2015,9,0.1342822461353924,0.08866605409236158,303.433408648417,0.2743820859350169,0.012892879686662738,282.50023839706046
Donetska,2015,9,0.13090777036639628,0.09092784279763613,303.5782481721406,0.2761374875517691,0.013612991972882692,284.8634106254047
Ivano_Frankivska,2015,9,0.2052505931651594,0.131789448174383,247.45994400701088,0.38708115303012053,0.024310110514874316,277.53357602653165
Kharkivska,2015,9,0.12956057476975336,0.0939525016494338,301.539006385948,0.27255021892138676,0.01420474841464414,282.79345519389454
Khersonska,2015,9,0.1372844030964826,0.09299583450837773,305.1993180367711,0.24793201907207768,0.015840169864735805,283.9558703803667
Khmelnytska,2015,9,0.17487350650459252,0.11808135768777729,258.10485590587547,0.3358013602073934,0.021487553232023265,280.8965714288472
Kirovohradska,2015,9,0.134841600438054,0.09535159225386569,300.62645627791244,0.2711630371444813,0.015234390799092234,280.3375346855592
Luhanska,2015,9,0.12978800893301776,0.09571828917475632,303.09649162630467,0.2753203154505365,0.014569546720744887,284.2767439701135
Lvivska,2015,9,0.2094947736842759,0.15053330348446833,263.53859189330313,0.38138058650011536,0.027803740287561936,282.62229701412366
Mykolaivska,2015,9,0.1208853824845046,0.07986714252150358,305.0508570908093,0.247427445985307,0.01269023547514169,278.64554430612134
Odeska,2015,9,0.10612484489185063,0.06855122616225429,304.59041549648174,0.2410958319001342,0.01153361627965846,279.8535472178853
Poltavska,2015,9,0.16393600559408122,0.11999441910790758,299.6376955087892,0.30278720881596854,0.02078200464047374,282.74866845206856
Rivnenska,2015,9,0.1980948271307032,0.14176075825651424,269.1980269267624,0.36063530124250887,0.025449878063568125,282.1922262535467
Sumska,2015,9,0.18425280140168232,0.13781922430240698,291.1845128186258,0.3551119077031406,0.0246094909559931,282.12793124478156
Ternopilska,2015,9,0.162522629476486,0.11218708791604333,259.6010102196969,0.32644548992958067,0.0201301478916493,281.8645883693256
Vinnytska,2015,9,0.1545560271555589,0.11705302282669394,267.62663259150173,0.30620065635242905,0.020844687505867144,282.9136394681845
Volynska,2015,9,0.19760825087512449,0.14598686309901693,283.5971921975515,0.35591258796077163,0.02558161389073959,281.88775543990323
Zakarpatska,2015,9,0.167669730568563,0.11470691426834427,274.31675162896533,0.31624084879919984,0.019902779334343163,284.27505895618566
Zaporizka,2015,9,0.1243710809336611,0.08273600946473449,305.8861220313222,0.24250673128466435,0.012825489546543787,285.09947924804754
Zhytomyrska,2015,9,0.18386715836005166,0.1336892240040612,290.0718053182092,0.3525152125463957,0.02381685013735782,280.5888063719687
Avtonomna_Respublika_Krym,2015,5,0.32878471591700814,0.2329783375923272,303.23086942710864,0.499596576771467,0.07563946917498686,281.030377004667
Cherkaska,2015,5,0.3677705426702621,0.2208067517244673,303.59507048794734,0.5576001261295336,0.07744698503463697,284.9281971904537
Chernihivska,2015,5,0.34190110616761854,0.20030932764708473,303.0233253405431,0.518793952807746,0.06508629210414288,284.33735114070174
Chernivetska,2015,5,0.376885071567778,0.23329942958672653,302.192316732117,0.5456820112883517,0.08342718502275828,284.60900908606226
