region_name,year,month,NDVI,LST_Night,FPAR,LAI,LST_Day,EVI
Ivano_Frankivska,2014,3,0.43126890755705743,274.1851837314667,0.14400508313985452,0.02853328151656729,288.7949590528007,0.23829175091821786
Kharkivska,2014,3,0.29778417446583005,270.0661900223236,0.06494100511349854,0.010581848895637026,288.8348644489854,0.11766015658362
Khersonska,2014,3,0.3873947809545576,272.6127250531758,0.1322852666948029,0.026636312846384094,291.290254700556,0.21550372806130175
Khmelnytska,2014,3,0.35667748781334374,273.68853034140983,0.09993831594799128,0.018038583281782816,283.03358759237057,0.18560917742411295
Kirovohradska,2014,3,0.3447531809308222,272.57728271643447,0.08422804521356352,0.014940938105186393,291.19088920513633,0.15478161873928697
Luhanska,2014,3,0.3131781205783267,271.0720645325416,0.07176684167292362,0.011786576384830688,289.6477969455977,0.13274719528535098
Lvivska,2014,3,0.43176267455642003,273.76077852468563,0.1451079326128057,0.02888913315531844,288.0504794799106,0.25089559634349723
Mykolaivska,2014,3,0.3863033196774188,273.3249668260002,0.10986445358385341,0.020820998901293124,292.0556576408871,0.1956813265614947
Odeska,2014,3,0.44034608001849257,274.53757447141874,0.14094876741546264,0.030591826861294934,292.6197744903972,0.22979326983354198
Poltavska,2014,3,0.29544389000231797,272.3071829207159,0.06132050804153258,0.010526511416037443,283.577463564751,0.12612089652306424
Rivnenska,2014,3,0.3680538957657556,269.8451311334716,0.13248209228210905,0.024675595731007437,287.66027818327706,0.21191616941285837
Sumska,2014,3,0.3200458843735035,270.1827069466944,0.07531941978812863,0.012693726077258846,276.05945603292827,0.14343124631858092
Ternopilska,2014,3,0.3773061217272894,273.72503600554074,0.09804499334642278,0.01803891925208387,287.5265446804194,0.19047626616499233
Vinnytska,2014,3,0.35803481181119307,273.68450697376977,0.10975269631538095,0.02102260488414418,285.550961095301,0.1801199504502759
Volynska,2014,3,0.38264090125778694,272.52046013029485,0.1482117354103433,0.027351909984672174,288.4137480650364,0.228126382129111
Zakarpatska,2014,3,0.4722833911449172,275.9678184021434,0.1803899557605255,0.038971193021096556,291.3284839934112,0.309895762155398
Zaporizka,2014,3,0.3446209580484144,271.8379636747727,0.08992674858927355,0.01590077941013051,292.499911783781,0.164909689532789
Zhytomyrska,2014,3,0.35089833679349347,272.84910949464233,0.10989412340382405,0.019043398300999954,283.30229922293256,0.18284578611551358
Avtonomna_Respublika_Krym,2014,8,0.2606514148861385,290.69024141063574,0.09959415005571917,0.019237571404190516,311.32179729490946,0.14696042801694076
Cherkaska,2014,8,0.3995388588644586,286.7683262242407,0.18725625893926412,0.04850228357886324,302.5203819128276,0.24481333822013499
Chernihivska,2014,8,0.4457257056429206,284.7794866133512,0.2094536416398478,0.056550856838591713,298.7042459993292,0.2734782541875873
