region_name,year,month,LST_Night,LST_Day,EVI,NDVI,LAI,FPAR
Zaporizka,2022,3,268.7919437508492,287.7438104091201,0.14682852805108335,0.2927873243833993,0.012518378580076681,0.07747949940692465
Zhytomyrska,2022,3,269.00399301504257,214.87441185667308,0.17781839931612256,0.3294068469370681,0.013367022716020856,0.08635980408408918
Avtonomna_Respublika_Krym,2022,6,289.30225270882784,306.3773116991563,0.19484556257880264,0.3352635787116678,0.04071272894319544,0.15851183958742698
Cherkaska,2022,6,288.6883171608635,304.0579729919926,0.334577879845266,0.5013491846151454,0.0916547215881483,0.2527623616003481
Chernihivska,2022,6,288.30654282274924,301.5044207413627,0.41996097429691154,0.5734387443818586,0.12326238050148063,0.28676891220823675
Chernivetska,2022,6,272.55767808451066,303.04236074774474,0.3117666194660381,0.46892987810316905,0.08452691828733992,0.24593131770299367
Dnipropetrovska,2022,6,288.6814192762196,307.38669070920366,0.24551362581214922,0.39442635072683657,0.045681145740891486,0.18671913280673455
Donetska,2022,6,288.4673179215777,307.81857086015555,0.2643812771940172,0.4232686550908089,0.05148446474786071,0.19682260430609624
Ivano_Frankivska,2022,6,274.03665905624473,301.7015613447947,0.38450814495006863,0.5481589858373573,0.10704673885879808,0.27262322243938764
Kharkivska,2022,6,288.43053971823457,304.4515966779215,0.28729085069070004,0.46516351110911947,0.06777653895161598,0.2284508107027376
Khersonska,2022,6,288.88662423633656,308.80253986593743,0.18826268412453756,0.3071755873458554,0.03523656297586467,0.14554356210265088
Khmelnytska,2022,6,287.80875954364524,302.28372461875915,0.37970399335880084,0.5409593047143616,0.11472081096916799,0.27761532993192634
Kirovohradska,2022,6,288.1983543953787,305.08727570842325,0.2955504200826742,0.4597171522107787,0.06743027244364937,0.22063640899999273
Luhanska,2022,6,288.49357886071124,307.6433048899478,0.2689517004374128,0.4442524984090484,0.059768886038099524,0.20929373989544248
Lvivska,2022,6,286.9529008274065,300.53119003860166,0.41666127425038146,0.5626205427514895,0.12283141262271532,0.2838115610814772
Mykolaivska,2022,6,289.097012965764,308.50796809364755,0.1991052583827428,0.3342432486994226,0.03779195724618578,0.1542905727356136
Odeska,2022,6,289.60147324623296,309.21177518827164,0.18767282742810187,0.3041361162418618,0.034428382187566664,0.14171567094937063
Poltavska,2022,6,288.42079110772085,305.0662808620876,0.3113815194985919,0.4908136732966811,0.07990333881655946,0.23901824175572553
Rivnenska,2022,6,288.42364344950147,300.2721259149454,0.4010382038724665,0.5525182983752432,0.12263198098044226,0.28610210320190876
Sumska,2022,6,288.5394401820568,301.04726478271783,0.43970504821910655,0.6048660798598365,0.13028940238352257,0.2934158201545445
Ternopilska,2022,6,285.9937416984441,301.61683863203933,0.37731455012660525,0.5470164001291259,0.1149483776935838,0.27815863367377913
Vinnytska,2022,6,288.3846077479372,303.6644171461149,0.32306549411352065,0.4780806517763822,0.08761068576237145,0.24862792986948337
Volynska,2022,6,288.0787188395344,300.9453700271772,0.38399962120524433,0.5238688573423943,0.10481060119596332,0.26898921478005905
Zakarpatska,2022,6,289.035287051221,305.0216044878364,0.2753991387469629,0.40065711499177814,0.06523271122583878,0.21737703788550863
Zaporizka,2022,6,288.6343365053789,308.09139997962177,0.23789066990107663,0.36834082221662806,0.04313522805164378,0.17363794462745166
Zhytomyrska,2022,6,288.3991084665373,301.4730945247516,0.3652922487872806,0.5315747856886591,0.10361347397317772,0.2659344228900334
Avtonomna_Respublika_Krym,2022,7,290.8221486772772,310.41387879487587,0.15616845525906053,0.2624423986674616,0.021945666859013245,0.10526921198394197
Cherkaska,2022,7,288.4261460272765,299.9174052509021,0.20984032651995815,0.35447272090820575,0.04561000137528895,0.17601503253216916
Chernihivska,2022,7,287.8375620939859,289.0666157694833,0.21954650808740825,0.3734802464834078,0.047063336143208394,0.1739196274894867
Chernivetska,2022,7,271.7881029914979,291.5510917353477,0.22935489599102368,0.3641258961087458,0.041500476171131395,0.16563631285044286
Dnipropetrovska,2022,7,289.6007747854466,306.5973906441367,0.18589979491006667,0.32466409715965355,0.02563141281564692,0.12869565937761457
Donetska,2022,7,284.5728048921969,307.3641693654215,0.18795834034831646,0.33015105156656005,0.026417532781908608,0.12994366445147168
Ivano_Frankivska,2022,7,273.97997481709456,299.81217241785987,0.2261317374297862,0.3662695620649421,0.0428454202807036,0.1685487731862586
Kharkivska,2022,7,282.00382027574915,296.3292774328432,0.20329580458665922,0.36936516034362643,0.032718470402212346,0.14656565707572608
