region_name,year,month,LAI,LST_Night,LST_Day,EVI,NDVI,FPAR
Zakarpatska,2020,4,0.043093256549741894,276.66552601317017,298.19135553017185,0.2717470105115351,0.39363055147123766,0.17684835197097395
Zaporizka,2020,4,0.0448969055466999,275.84715713273783,300.67574962068323,0.27765125104727656,0.4740384389371536,0.179092160404231
Zhytomyrska,2020,4,0.02741276868471094,264.3139155064685,239.10356296019086,0.2235038174487976,0.36429779185954914,0.12173437608647951
Avtonomna_Respublika_Krym,2020,8,0.017019868943790956,289.6734648217665,312.9654614339193,0.13375524515006693,0.24440753450501326,0.08951984289214523
Cherkaska,2020,8,0.04500104901325752,287.9728808470087,306.1013028226419,0.21855707618022838,0.36055214097620536,0.185369919753476
Chernihivska,2020,8,0.08328982493429346,284.78275042057084,302.31585426641595,0.33555368591724555,0.494656274716734,0.24332352557818607
Chernivetska,2020,8,0.06753310253302724,288.2191805074049,303.7070735741304,0.293266206533791,0.45399525961124354,0.22087371400870562
Dnipropetrovska,2020,8,0.01775741711657018,288.09077134249446,310.93318418376504,0.14827860012435443,0.2773612400714424,0.1039975260561606
Donetska,2020,8,0.02002712663597849,288.27511040632436,311.10669872962325,0.14953585414652384,0.278793442151667,0.11014922221014387
Ivano_Frankivska,2020,8,0.0818274265478992,287.5629121330066,300.8167506755297,0.33326747167207277,0.5010985785225159,0.23875265354437952
Kharkivska,2020,8,0.02723786953619371,287.3105481116498,308.1283280103121,0.16986752050660092,0.30649544171836635,0.13275320323962336
Khersonska,2020,8,0.02223921763397532,288.45939874796653,312.0972168874212,0.15557915273949108,0.2767229691907677,0.10860236551776074
Khmelnytska,2020,8,0.08315188797423696,287.0814630920603,301.4058381534023,0.33104610654719324,0.49360046651811634,0.23950013873138318
Kirovohradska,2020,8,0.028617603656915496,288.63330797810005,309.5409789104002,0.16396512733601798,0.300307829599372,0.1387925714361913
Luhanska,2020,8,0.024541123703339728,287.87116955616347,309.7957854349609,0.15527732124324456,0.2920152997649398,0.12459294214248498
Lvivska,2020,8,0.0741091121937086,286.8076101449989,300.41491096801724,0.3379416272397277,0.49502848126700943,0.23384584522846055
Mykolaivska,2020,8,0.016011378256210483,289.31374743998714,314.10929143749934,0.1196742717141597,0.2393182804249175,0.08782638063450506
Odeska,2020,8,0.01862348279867107,289.8733961216446,314.3034429843661,0.1308314934307231,0.25242115540331767,0.0961044635821183
Poltavska,2020,8,0.04914890679942421,287.2646465545388,305.7797132189726,0.22748823714313254,0.3718232859063663,0.1893839808724669
Rivnenska,2020,8,0.07826857553560713,286.2618640184927,299.9227130372943,0.35691772956153506,0.5140536013001187,0.236118819513003
Sumska,2020,8,0.08615527161063853,286.0377124170998,300.8582239024223,0.33970861146938386,0.5098377540473756,0.24870935424558313
Ternopilska,2020,8,0.07393539158432613,286.9635756729349,301.3249655518778,0.32213219136888693,0.4811921872281816,0.22647637680722058
Vinnytska,2020,8,0.05757350759939842,287.9988253890546,304.55864300602195,0.25675152294356246,0.40498068255246483,0.20575102018078373
Volynska,2020,8,0.05745218348629946,286.4708845234669,300.550510317567,0.2977786711518787,0.446584816044377,0.20958508245343943
Zakarpatska,2020,8,0.0883532503639158,288.6793374812442,301.2827050290928,0.3859029313293573,0.5572403652847933,0.26640629032196544
Zaporizka,2020,8,0.019054897486725102,288.3892544130716,312.1195170860605,0.1456013692652764,0.27420804215227185,0.10264784932537335
Zhytomyrska,2020,8,0.07221348758100021,286.53526802380384,301.443884016278,0.31016704931522776,0.4708941144958474,0.2335723320151169
Avtonomna_Respublika_Krym,2020,9,0.012629655558392006,286.14383193966125,305.6861799662462,0.11958961243538155,0.23171526806238862,0.07535645630326998
Cherkaska,2020,9,0.018986262498266505,277.1611018125572,292.1014094796088,0.14508532577193792,0.27607570645083684,0.11210730455313557
Chernihivska,2020,9,0.03582522863889762,281.0827682400856,294.87163327644333,0.22460412713175923,0.3689741183596483,0.1765809344185742
Chernivetska,2020,9,0.03349450799636349,278.7784518339376,265.2910747093326,0.2240488422970365,0.4055589837132561,0.15999372905807857
Dnipropetrovska,2020,9,0.00972966185198459,283.6362829452076,303.50445429852977,0.11786897802296306,0.23945828834336053,0.0692331653670358
Donetska,2020,9,0.009577966898237434,283.36341620414606,304.540032819783,0.1031563368863255,0.21627843518362586,0.06578574571726713
Ivano_Frankivska,2020,9,0.04899615275526817,276.32202515421136,257.65472358145945,0.2869699910717203,0.4717518683623847,0.19797376444649337
Kharkivska,2020,9,0.011662388793934617,282.17406471969935,302.4088482466873,0.11020875172707609,0.22827690407440349,0.07855364143069607
Khersonska,2020,9,0.014971445062912068,284.9407444459519,302.23794284237187,0.14401026916223506,0.2619782999600008,0.08615095545036741
Khmelnytska,2020,9,0.0421956595132724,247.35221075565968,271.66314454349157,0.24961888258372714,0.4408302374564436,0.17861996602200203
Kirovohradska,2020,9,0.012520530723126649,283.8946085554415,297.34197685417615,0.11829984963725879,0.2421927546993317,0.08066343397770571
Luhanska,2020,9,0.011672622334629805,281.81656308974055,303.50827428749096,0.1111369869308286,0.21847886761009347,0.07668385475701109
Lvivska,2020,9,0.04613829337651711,277.76907805154303,242.59141857674717,0.28620163366386425,0.4538738473800473,0.19176954219146652
Mykolaivska,2020,9,0.00952095447174529,284.5636756685381,300.32236912290716,0.11445863422316767,0.25158403516094874,0.05983539052892818
Odeska,2020,9,0.011566001187934688,285.12968397525844,305.05134684578223,0.11293063676581791,0.2501580832978713,0.06865171323089056
Poltavska,2020,9,0.017025630436587023,282.7392704794205,298.8130610473603,0.14387847892517308,0.260622846760945,0.10541083703327991
Rivnenska,2020,9,0.04816824047815553,241.60130287524956,249.05732583980927,0.2830747634912204,0.46347710705963296,0.1949546610735333
Sumska,2020,9,0.03280031276463896,281.6564787051465,295.06095361629065,0.2012129607860142,0.3438215380183215,0.16431050479938134
Ternopilska,2020,9,0.04633367061929613,258.05722457401424,268.4267414749071,0.2759067444044615,0.46040437370313786,0.1876498366455941
Vinnytska,2020,9,0.024370403964707268,262.116594268111,296.05097661775,0.16708001722186377,0.3286711152031857,0.1305940793592589
Volynska,2020,9,0.041773901126343625,277.2515690540071,245.01937127251927,0.28284581214562643,0.4494057225096277,0.19119126903482134
Zakarpatska,2020,9,0.0395671421131317,284.1134356179631,263.25822543209335,0.2328196369587324,0.3976038072770723,0.1758278025258109
Zaporizka,2020,9,0.010713083658240691,284.5886738092404,304.38180917526614,0.12104538948286196,0.24129810264060172,0.06974789891258368
Zhytomyrska,2020,9,0.03425092769010207,231.73867196261722,279.1434326161308,0.22147388729761566,0.3863015503275181,0.16794343712065232
Avtonomna_Respublika_Krym,2020,10,0.01078534971935132,281.02809514052876,251.73044968364454,0.15023234542768674,0.3016252413862713,0.07809016086894827
Cherkaska,2020,10,0.011256333089894545,277.3715261547118,271.9358112156157,0.1323028536815807,0.2912449728302046,0.0787382636807699
Chernihivska,2020,10,0.016366628720094988,276.5481660347584,228.96784423090168,0.1574987281125558,0.2767457927062041,0.102260982374286
Chernivetska,2020,10,0.026546022838372874,276.58522918493566,283.83292647459643,0.2515213407054942,0.43272098596477643,0.1452147171171799
