region_name,year,month,NDVI,LST_Night,LST_Day,FPAR,LAI,EVI
Khmelnytska,2016,3,0.33082216151889887,264.36563334587106,240.7015318338372,0.06416715343589607,0.011121572973166228,0.15543091627827038
Kirovohradska,2016,3,0.284315472870802,225.08527971489787,271.95931759272116,0.04773827506811423,0.008338817070880685,0.11115893797555432
Luhanska,2016,3,0.26746070777854347,224.489940270223,241.64723256211386,0.047744664417278246,0.007847551651478279,0.11750782025851847
Lvivska,2016,3,0.40709997429645256,237.90473214201316,246.68543596980328,0.10370648315519237,0.01936919125451278,0.221990660211977
Mykolaivska,2016,3,0.30619918490098497,233.63763685384754,284.547927645629,0.05839007542366763,0.00957026608851728,0.1374592248540235
Odeska,2016,3,0.43164235127457173,262.14190961020944,289.05202771189767,0.1337051888877692,0.02864896081112895,0.2234101157201904
Poltavska,2016,3,0.2739048268232727,218.20426865164967,236.93305372637258,0.04231989370042564,0.007160768267346237,0.10988060448215192
Rivnenska,2016,3,0.33642197922905076,247.75895922413676,241.87393618644364,0.08024320909910804,0.013576379508010137,0.1754351484904077
Sumska,2016,3,0.28322145353478906,227.2539931977176,245.02347765273538,0.05004197622184854,0.008335837266614817,0.12106207779225905
Ternopilska,2016,3,0.3539275536309383,262.8998109172642,241.08567491371358,0.06612895527636486,0.011662507885560527,0.16355453820234542
Vinnytska,2016,3,0.34560571845344945,261.51513919383177,279.33935701913026,0.07584136001699991,0.013215780229155415,0.1606532890742615
Volynska,2016,3,0.3324894181896536,227.7916635039195,243.04641004630122,0.08211482099926946,0.013610044120727435,0.17952710559357785
Zakarpatska,2016,3,0.40111397135859056,255.37795998923778,288.5938947726168,0.15249806447652967,0.029126344230960978,0.2560438092290751
Zaporizka,2016,3,0.29585559948854473,252.9001164914805,276.3242906471177,0.05058968771020234,0.007958106969067227,0.1350172205695145
Zhytomyrska,2016,3,0.32203374441102184,242.4997268410589,265.3047613969768,0.06883855861250932,0.01156120081996772,0.15000438050535925
Avtonomna_Respublika_Krym,2016,4,0.5042578444669213,279.1060010128775,296.5216731969632,0.20456856648347022,0.059641437495559994,0.33178289761377544
Cherkaska,2016,4,0.4314924039208515,279.40418363383844,298.2143512745746,0.15308301164377602,0.04037520565552887,0.2529229944786278
Chernihivska,2016,4,0.4073925426539831,278.4084323132656,293.5759142287174,0.1302118615936512,0.031460401977898615,0.23548627428437677
Chernivetska,2016,4,0.5051381049472373,258.79303770713005,294.43963645833986,0.20921693341616668,0.06206005895689784,0.3301026406218254
Dnipropetrovska,2016,4,0.4538339124559288,280.1734699235062,297.14289517363267,0.11225137220755271,0.02383924782522986,0.24430917515149575
Donetska,2016,4,0.4767039602516165,279.6247691094919,269.31226257594705,0.1258995663170807,0.02877956316614223,0.27880757726978983
Ivano_Frankivska,2016,4,0.5486071246119826,242.00832829875188,293.1253180274753,0.21831614539126462,0.06913525781693342,0.3735376027332178
Kharkivska,2016,4,0.43226220672936533,279.6825582024587,263.564268230732,0.09610084665499374,0.02057023884461048,0.23294881793521904
Khersonska,2016,4,0.4525845277676511,279.3426612245942,296.64337255156346,0.16775131422607045,0.04381125804273435,0.27700421120935154
Khmelnytska,2016,4,0.447988417785464,251.45832330146382,296.19346192046294,0.16507793454657768,0.04221675214054207,0.2825524875921626
Kirovohradska,2016,4,0.4169694298640873,279.8714965524246,299.49072247735637,0.11787419885808505,0.028709354355485203,0.21480120005272543
Luhanska,2016,4,0.4321888929487554,279.86288601263277,278.6137085005898,0.11178456471366593,0.025496577236548124,0.2385808637604327
Lvivska,2016,4,0.5562891139662494,250.26955903781064,290.8226793278231,0.2112290281470823,0.06466382179786291,0.3787585179050242
Mykolaivska,2016,4,0.47605775392448624,279.70514678908614,299.1907498202378,0.15631531896347672,0.039787250383508985,0.2774720676798796
Odeska,2016,4,0.5797989343299755,280.16059357787327,297.0004969995969,0.22798974269359942,0.0791272148200195,0.38108754626568453
Poltavska,2016,4,0.39753377155879055,279.5579244662916,295.7147826562638,0.10991180245217606,0.025907150425979165,0.20876362923141317
Rivnenska,2016,4,0.46299989580938944,263.39398454181287,292.0983897415613,0.167306007615778,0.042268788743194806,0.31486101863386884
Sumska,2016,4,0.41645936030306924,278.01280760030875,286.2940454074557,0.11599310972324119,0.027488211603300138,0.23123358411340686
Ternopilska,2016,4,0.4845406933252002,221.87350285981606,294.7954420631503,0.18057685711743549,0.04738798292920121,0.2983176879339797
