region_name,year,month,LST_Night,NDVI,EVI,LAI,FPAR,LST_Day
Odeska,2019,9,283.544852664601,0.24310598888294213,0.11081592905312283,0.011494001417751323,0.06908364473124998,304.25384020577604
Poltavska,2019,9,279.3820284425934,0.26283606309548857,0.13401875244062528,0.015485939710598584,0.0944555801019496,278.0265790234648
Rivnenska,2019,9,279.1263355820867,0.3710628369414145,0.2228544705152272,0.032022500409301866,0.15889679750882227,285.02667660100417
Sumska,2019,9,279.1707963795504,0.2897336760963171,0.13523054309592777,0.017641692361583326,0.10302848124635072,283.1900465509701
Ternopilska,2019,9,280.2826686061944,0.30548844080356313,0.1743297253158125,0.02368687125216167,0.12761227354710777,295.46611276374193
Vinnytska,2019,9,280.2204090296035,0.2958756638009883,0.1616958186450919,0.020785386547800856,0.11586848790940596,277.98410021051353
Volynska,2019,9,279.51319889094464,0.3536447692790512,0.2054078862212566,0.030002414691026557,0.15612514521134724,281.922066946549
Zakarpatska,2019,9,280.7188297399105,0.3273288385648137,0.17768531930843526,0.023820283809017715,0.13148372670534805,297.9332698705938
Zaporizka,2019,9,281.3779970254512,0.26916010265606843,0.12580855628211723,0.011492685078188812,0.07339981902864375,302.19767903654446
Zhytomyrska,2019,9,278.6274173949123,0.3310842518837095,0.18910000821647058,0.02470028362530014,0.1346880301299374,271.201770148739
Avtonomna_Respublika_Krym,2019,3,271.1507787722706,0.4070764841687004,0.23959853483215818,0.03286713886045281,0.15613291541853905,291.8317106439426
Cherkaska,2019,3,270.0879465353292,0.2977122268234079,0.13752821920638367,0.01275289296522173,0.07407372521828225,285.01153839821234
Chernihivska,2019,3,267.76778810427356,0.2755640919702751,0.1351328358407923,0.010726056017932742,0.06598106987199424,279.22464429852226
Chernivetska,2019,3,271.2178026629042,0.3278297352025064,0.17261788646041953,0.015609936937427783,0.08968806595428884,259.51976708806563
Dnipropetrovska,2019,3,271.7699675500245,0.310744143226126,0.14527243874900625,0.011053712380896441,0.07217227858033376,292.0453922375051
Donetska,2019,3,254.57252178118662,0.29215910472962114,0.12834594820664602,0.008813239133556836,0.05624585132327688,287.10166773615765
Ivano_Frankivska,2019,3,272.4807381687757,0.34029220544412975,0.1773520163019734,0.01840025826206517,0.09964926135677754,274.86383860480464
Kharkivska,2019,3,270.0589647903593,0.2707405402264596,0.10592955801706586,0.0077813360224118075,0.0502052905036966,283.49822410863123
Khersonska,2019,3,271.85358539466966,0.36429982536030725,0.20156347522118687,0.023248597156996915,0.1212772042645786,291.88912407669056
Khmelnytska,2019,3,271.74528890101465,0.3338397654125669,0.17092656022467723,0.01521132732423918,0.08761569144109245,286.0476945535412
Kirovohradska,2019,3,270.8561042574972,0.29965265818580505,0.12951384624296378,0.012214173810393907,0.0715432482349794,290.32786337806436
Luhanska,2019,3,253.07480987309495,0.25254940298352696,0.10328718377251933,0.00784438210960195,0.04757719971387098,286.4443736374512
Lvivska,2019,3,272.9085200765212,0.3765412928940506,0.216274184042257,0.0241700355401367,0.12541917571573144,282.83196908883707
Mykolaivska,2019,3,271.72280939627836,0.37042399733534015,0.185218909310772,0.021855239819035293,0.11576166329418748,292.6310471247828
Odeska,2019,3,268.3805398257607,0.3969868608221579,0.2192043855171384,0.025839631153768,0.12540935617405405,292.10266637937707
