region_name,year,month,LST_Night,EVI,LAI,LST_Day,NDVI,FPAR
Zakarpatska,2017,9,280.2140143263594,0.23122497808340522,0.035047230718253386,294.7811858483658,0.4026899582470587,0.1764208796072396
Zaporizka,2017,9,283.2757395078693,0.10735548626862823,0.009586735620954561,302.637847561385,0.22764698532662564,0.06313181421401746
Zhytomyrska,2017,9,279.94337145860095,0.2250880107575362,0.03271558144812719,259.4277494063501,0.3919162161032429,0.1624659000419492
Avtonomna_Respublika_Krym,2017,3,257.7523111828105,0.18226066467672228,0.018916232634684105,284.5844513006612,0.33340748748584875,0.10128151231078575
Cherkaska,2017,3,264.79763969161553,0.11653613185712008,0.009072888770062638,284.37698786132506,0.2764216568859395,0.05205062456324596
Chernihivska,2017,3,273.4739008169072,0.13951452848641294,0.011533021899398707,281.7039360738238,0.28805138353511556,0.07296203643299272
Chernivetska,2017,3,214.0565032316314,0.15668556899506805,0.016246695378694533,288.00444735324214,0.3202709992670496,0.08852345738414602
Dnipropetrovska,2017,3,273.5735164713913,0.11433067802777686,0.008486456852949893,280.32420562748365,0.28366911111598236,0.05312962575111697
Donetska,2017,3,263.3142843643127,0.11490307167281096,0.008491736951625953,282.664913272021,0.27885730393044567,0.05336000920747818
Ivano_Frankivska,2017,3,235.57331324929595,0.19283900122922756,0.019966054713771268,256.33539785397033,0.35960402353336185,0.10376926304457637
Kharkivska,2017,3,272.45146794078295,0.09784731490535106,0.008255965764937704,285.34013874403394,0.2538459424463781,0.04978025440090921
Khersonska,2017,3,265.98892470857794,0.1788368753236315,0.017947388432929843,290.78686610911456,0.3428943003357609,0.09710777617111618
Khmelnytska,2017,3,223.7250262818665,0.1271080956473137,0.011255917343752003,265.9892724493847,0.28335418237674986,0.06494352249504749
Kirovohradska,2017,3,273.8196045903563,0.099191889241748,0.007762278261117663,276.7412373278388,0.2623847448832681,0.04763266268920326
Luhanska,2017,3,265.4676720009327,0.10768617588604561,0.008222096501389477,264.022651317754,0.2588525222152653,0.05038515883916845
Lvivska,2017,3,235.9967227981644,0.20361550977787538,0.01980842451406223,231.79769004734712,0.3662809856887689,0.10052698045245193
Mykolaivska,2017,3,274.184190888912,0.1270528544144637,0.010563310553958104,291.88240160034803,0.30724423706681236,0.06310460948029593
Odeska,2017,3,274.8233304949676,0.18106157066815737,0.017457988572060126,293.21564771193795,0.3720966825013652,0.09051644882690432
Poltavska,2017,3,273.65116892985225,0.0992138560498573,0.007906320188517878,286.08082177697804,0.2548779938643723,0.04717837485638521
Rivnenska,2017,3,229.96047344059113,0.16430225491523665,0.013100050681519725,258.3084762655768,0.30755473005280604,0.07534446677972761
Sumska,2017,3,272.63827125993,0.11882701659140203,0.009329853759570662,285.2836748375194,0.27205011847763627,0.0588849037502622
Ternopilska,2017,3,243.45026255911574,0.1367424758595413,0.011212576583257482,259.0830896189939,0.3008491555530132,0.06520473396832108
Vinnytska,2017,3,240.49230085036248,0.12719754856614937,0.010925439146243665,284.157111924873,0.2833262362188578,0.06334315450064382
Volynska,2017,3,234.88580178740818,0.18189589951645002,0.01607489142593994,225.5986996107711,0.32905947518828216,0.08863757290225907
Zakarpatska,2017,3,275.27613244170806,0.1830241067881929,0.01770057648602051,267.5546296097339,0.30999824142200577,0.10312755229360168
Zaporizka,2017,3,266.1930144878419,0.13629418627296155,0.01114825212580443,290.0565398191355,0.30283992619484423,0.06673246877176556
Zhytomyrska,2017,3,222.38396116010927,0.13638944093923466,0.01094569898894356,261.19658895897686,0.2839594153370141,0.06680021768731602
Avtonomna_Respublika_Krym,2017,4,277.5760021273355,0.2995908582298904,0.05215534327418984,300.250369465766,0.46773007630290825,0.1903830522606027
Cherkaska,2017,4,274.312822189848,0.2020529047428242,0.026455108440837247,297.4466556909543,0.36715257723022243,0.10912889968131247
Chernihivska,2017,4,271.916416915819,0.21296114555391582,0.029482954946749577,294.2514632429203,0.36874279550731676,0.12711831804366377
Chernivetska,2017,4,276.5453488319731,0.24238788790854268,0.03740056896613985,293.6521545074982,0.4067883220853912,0.15199494142632353
Dnipropetrovska,2017,4,269.96714908354045,0.1962636328076615,0.02115335263009204,285.2844933272814,0.38732345087451925,0.10159118174460603
Donetska,2017,4,276.96886552781103,0.22318381502833842,0.026515062732796614,290.63913111818704,0.4157198859125925,0.11791365496526149
Ivano_Frankivska,2017,4,262.6720277562409,0.30265554771103875,0.046605891481575144,290.62895476935216,0.469896851365852,0.17586739467369392
Kharkivska,2017,4,275.9147539042907,0.1764661004031491,0.0198567317517051,288.63973648625984,0.3678257226432709,0.09170621478927848
Khersonska,2017,4,277.8785015101079,0.2715543779305438,0.04292052525021478,295.7623029791266,0.4389691701667877,0.16452182545107463
Khmelnytska,2017,4,275.46912720919704,0.2144114892264555,0.02887705294540404,294.5745758127771,0.38317255867324856,0.1292281005909809
Kirovohradska,2017,4,251.33702655208762,0.17448162507628842,0.020845126151477097,298.300407099317,0.35856409623401647,0.09193071477465727
Luhanska,2017,4,264.0125982641731,0.20280060320922033,0.02466909546312375,273.6667137953188,0.38791936056521975,0.10910988211305099
Lvivska,2017,4,260.0397105933968,0.31928271576753114,0.04637417452677661,276.1832679002948,0.490565520483902,0.17555665837888845
Mykolaivska,2017,4,250.88404947587466,0.22525884838006685,0.030793291433408063,299.478090738519,0.4261136821741862,0.12756593524473897
Odeska,2017,4,256.5673006024932,0.31838224678267313,0.05692656549142583,297.5758755673626,0.5118044864138176,0.18802244870662924
Poltavska,2017,4,272.8206478669041,0.16985092314116457,0.019397365772939375,270.10740278375835,0.3448805097279962,0.08671643395427997
Rivnenska,2017,4,272.9051461402366,0.25406968230039195,0.029980806863612097,260.720187392078,0.4014223750700818,0.13228128669020586
Sumska,2017,4,271.54020059359914,0.19589556785588355,0.024885320935023002,287.6210858879796,0.3675674812071794,0.11094429849049775
Ternopilska,2017,4,274.6905834138386,0.22364192105476452,0.027988340891597453,291.287320944272,0.4044807277302957,0.12390473922844375
Vinnytska,2017,4,276.77387317847814,0.22927172590398565,0.03297620767614513,295.08233864238423,0.39505889980419767,0.13324603591847187
Volynska,2017,4,269.5016479953675,0.2788650052764433,0.03328675016510785,238.50343096546194,0.4404711641417684,0.1414694226083157
Zakarpatska,2017,4,277.1719194025593,0.3016489018766487,0.03952035518209873,238.1917522465149,0.45692516566774777,0.1664787883284843
Zaporizka,2017,4,274.8206383597936,0.22950740345012566,0.03297361804618781,295.20963812660733,0.4180987472408551,0.140285140110101
Zhytomyrska,2017,4,275.58415803887175,0.21101563287983147,0.02740980106479512,280.656209800595,0.3687266400119605,0.1273549442835792
Avtonomna_Respublika_Krym,2017,8,290.6345744776901,0.11902449398415028,0.014008258465916487,310.7982921149773,0.22482718413620728,0.0771641410894788
Cherkaska,2017,8,287.6043990627057,0.23433972550202078,0.05071498627098574,303.65312003780457,0.4073597487427748,0.19178531271046542
Chernihivska,2017,8,282.68041765829827,0.3211005267466449,0.08151989321332659,301.2209433181581,0.5076440235473361,0.24410596961610345
Chernivetska,2017,8,286.7297048879079,0.28273059470189044,0.05395612859620047,304.2101932293266,0.4482356917929606,0.20417846508299187
Dnipropetrovska,2017,8,289.3901447116382,0.1624973608243471,0.023697736399304625,308.0912752067706,0.3288097948522836,0.12692134328026466
Donetska,2017,8,289.3494092921326,0.16194227057018715,0.02088336960759814,308.1225088037997,0.32167332013728395,0.112599087146014
Ivano_Frankivska,2017,8,286.1863412588005,0.3102505252030977,0.05972817089426462,302.7018402818093,0.4923144342216029,0.21714306078837403
Kharkivska,2017,8,288.7118536632476,0.17433706819491085,0.027285407389505818,296.7147359405683,0.3439268552487845,0.13522744856306232
