region_name,year,month,NDVI,EVI,FPAR,LST_Night,LAI,LST_Day
Khmelnytska,2011,6,0.5622145644307094,0.3788391600226381,0.2358080414002594,274.5649967588055,0.08040037588458747,282.1818795927252
Kirovohradska,2011,6,0.567065902271323,0.38209278748339887,0.21307907704891227,280.48118147930484,0.06387144322193128,290.0406757371
Luhanska,2011,6,0.516004573387276,0.29852813382041254,0.20890531440212842,286.48441603553175,0.06019663816968214,303.67662317241934
Lvivska,2011,6,0.5979670644963039,0.4373846042568507,0.24645676015928283,284.6564143818516,0.09005836378010676,280.55926248692407
Mykolaivska,2011,6,0.47351180089804495,0.3176297203014185,0.17847411575432792,287.12703853048583,0.046479159194092366,275.49694553878527
Odeska,2011,6,0.4195833997049811,0.2727699579919469,0.17699327936135828,285.7477195097884,0.046834966520312125,277.47018920785223
Poltavska,2011,6,0.5983553340442461,0.43505969752087253,0.23973565561959925,244.85245799940017,0.08231536688559593,290.6847312427626
Rivnenska,2011,6,0.5559893971959297,0.36864728098515115,0.23159796550808892,283.00249449312236,0.07634253177911719,283.8736618485783
Sumska,2011,6,0.5596951916203189,0.3868242384404776,0.22667869140774588,274.3378959414762,0.07488797679148274,275.633103989969
Ternopilska,2011,6,0.5888689951553363,0.40565058910592083,0.250643599957561,284.13586141544596,0.09060630039314897,284.1424654636057
Vinnytska,2011,6,0.5769528715741811,0.4101142971900894,0.24879497478232365,279.22086081477505,0.08967844027369472,289.2539176354532
Volynska,2011,6,0.5780403263530758,0.3865223941281006,0.23472415233719898,284.78576732939297,0.07687502321850016,273.0209118137266
Zakarpatska,2011,6,0.48391190823369895,0.3014457009390738,0.1986464554961035,273.2438702726971,0.05302237529773248,303.1851190839244
Zaporizka,2011,6,0.5030751487863719,0.34501774272359054,0.19397917345246782,286.73958191113616,0.05197643361965488,290.61945669337115
Zhytomyrska,2011,6,0.5750565475440285,0.38026044876179643,0.23661950062084616,258.3834200758135,0.07673085386709858,285.10744142074583
Avtonomna_Respublika_Krym,2011,8,0.25108395113832505,0.14334733010735679,0.09582274447250264,288.2667028639048,0.019628262129441677,309.2125278416988
Cherkaska,2011,8,0.4750304674628914,0.2946169793490533,0.23160495709025206,285.70087788962695,0.07104574227362666,301.0586261835215
Chernihivska,2011,8,0.53040807755476,0.3321837168169301,0.2495327463284344,284.53981477019926,0.0801094283925947,299.08093002334834
Chernivetska,2011,8,0.5037715590898273,0.3341665451665061,0.24008788721651506,286.98898422785504,0.07945401898837641,301.9162675896124
Dnipropetrovska,2011,8,0.3758415208967474,0.20131830047310031,0.1531696028054872,287.0373596739733,0.030796296551678325,305.374529469199
Donetska,2011,8,0.3674535784581446,0.19324553652788848,0.1415197368179537,286.75957029753636,0.02898242321266923,306.05307152506714
Ivano_Frankivska,2011,8,0.5017225343153308,0.307669831833074,0.2307718416207733,286.6973612275838,0.06710638279892153,301.0066501851824
